"domain","siteID","logger","UTM.east","UTM.north","elevation"
"SILVERMINE","CBR0",10008097,258834,6230229,566
"SILVERMINE","CBR1",10008101,258712,6229614,642
"SILVERMINE","CBR2",10008098,258934,6229766,659
"SILVERMINE","CBR3",10008103,259033,6229102,786
"SILVERMINE","CBR4",10008100,258995,6228733,841
"SILVERMINE","CHK1",10008095,256907,6228779,120
"SILVERMINE","CHK2",10006349,257070,6229153,326
"SILVERMINE","CHK3",10008094,257271,6228903,325
"SILVERMINE","CHK4",10008096,257420,6229224,367
"SILVERMINE","CHK5",10008093,258353,6229582,436
"SILVERMINE","CHK6",10006348,258397,6229772,455
"SILVERMINE","KB1",10008138,264600,6221663,242
"SILVERMINE","KB2",10008139,264179,6221957,374
"SILVERMINE","KB3",10008151,264234,6222022,371
"SILVERMINE","KB4",10008154,263868,6222293,493
"SILVERMINE","MP1",10008152,265772,6223097,232
"SILVERMINE","MP2",10008141,265235,6223395,380
"SILVERMINE","MP3",10008140,265600,6223573,439
"SILVERMINE","MP4",10008150,264647,6223573,400
"SILVERMINE","NDP1",10008145,259952,6225937,495
"SILVERMINE","NDP2",10008128,259919,6225653,484
"SILVERMINE","NDP5",10008120,258346,6226518,732
"SILVERMINE","NDP6",10008112,258571,6226738,722
"SILVERMINE","NDP7",10008121,258325,6226979,706
"SILVERMINE","NDP8",10008117,258738,6227157,656
"SILVERMINE","NDP9",10008126,258665,6227440,650
"SILVERMINE","PSK1",10008122,259295,6227462,576
"SILVERMINE","PSK2",10008124,259313,6227722,563
"SILVERMINE","PSK3",10008119,259487,6227863,566
"SILVERMINE","PSK5",10008123,258499,6228060,614
"SILVERMINE","PSK6",10008118,258418,6228212,659
"SILVERMINE","SMD1",10008125,259584,6226883,467
"SILVERMINE","SMD2",10008127,259566,6226511,460
"SILVERMINE","SME01",9850219,262929,6224047,364
"SILVERMINE","SME02",9850224,262838,6223951,304
"SILVERMINE","SME03",9850216,262982,6223722,266
"SILVERMINE","SME04",9850218,263002,6223543,306
"SILVERMINE","SME05",9850223,263086,6223469,358
"SILVERMINE","SME06",9850222,262963,6223341,308
"SILVERMINE","SME07",9850213,262966,6223068,277
"SILVERMINE","SME08",9850215,262908,6222925,316
"SILVERMINE","SME09",9850221,262854,6222792,388
"SILVERMINE","SME10",10008153,262893,6222528,457
"SILVERMINE","SME16",10008144,261082,6223325,101
"SILVERMINE","SME17",10008143,261227,6223203,88
"SILVERMINE","SME18",10008142,261388,6223050,107
"SILVERMINE","SME20",10008133,261652,6222730,230
"SILVERMINE","SMW4",10008116,260655,6224699,341
"SILVERMINE","SMW5",10008115,260585,6224803,361
"SILVERMINE","SMW7",10008114,261105,6225198,396
"SILVERMINE","SMW8",10008113,261108,6225429,433
"SILVERMINE","StPkN",9850211,264582,6224964,130
"TABLEMT","CC01",10006340,260201,6234067,380
"TABLEMT","CC02",10006339,260509,6234331,439
"TABLEMT","CC03",10006337,260784,6234774,590
"TABLEMT","CC04",10006336,261182,6235019,523
"TABLEMT","CC05",10006346,261051,6235247,675
"TABLEMT","CC06",10006338,260838,6235827,678
"TABLEMT","CC10",10008156,259985,6236554,723
"TABLEMT","DP01",10008155,261950,6239667,460
"TABLEMT","DP02",10008147,262719,6239413,730
"TABLEMT","DP03",10008149,262869,6239508,698
"TABLEMT","DP04",10008146,263201,6240092,815
"TABLEMT","DP05",10008137,263449,6239876,972
"TABLEMT","DP06",10008148,262886,6239728,716
"TABLEMT","E2.KBG",9850240,262657,6236427,160
"TABLEMT","E3.KBM",9850214,262124,6236057,236
"TABLEMT","E4.NB",9850220,261604,6236478,518
"TABLEMT","E5.CR",9850225,261520,6236647,726
"TABLEMT","E6.AQ",9850239,261812,6237749,871
"TABLEMT","E7.FP",9850232,262313,6237862,986
"TABLEMT","E8.SG",10006341,261348,6237143,731
"TABLEMT","EV1",9850238,260843,6238500,966
"TABLEMT","EV2",9850235,260810,6238394,900
"TABLEMT","EV3",9850236,260745,6238300,861
"TABLEMT","EV4",9850234,260630,6238226,880
"TABLEMT","EV5",9850233,260615,6238139,903
"TABLEMT","TA01",10008131,258255,6237219,448
"TABLEMT","TA02",10008132,257923,6236904,507
"TABLEMT","TA03",10008130,258117,6236751,610
"TABLEMT","TA04",10008129,258104,6236710,607
"TABLEMT","TA12",9850217,258668,6237000,677
"TABLEMT","TA13",10008099,259539,6238199,808
"TABLEMT","TB.CWU",9850237,260189,6239318,1059
"TABLEMT","TB6",10008135,262250,6238999,1020
"TABLEMT","TN2",10008102,260611,6239745,509
"TABLEMT","TN3",10008136,261305,6239351,581
"TABLEMT","TN7",10008134,260813,6239127,975
"TABLEMT","W2.CB1",9850230,258343,6238755,190
"TABLEMT","W3.CB2",9850226,258656,6238643,286
"TABLEMT","W3.CB4",9850229.01,259236,6238816,412
"TABLEMT","W5.P550",9850227,259177,6238568,523
"TABLEMT","W6.P700",9850228,259439,6238523,700
"TABLEMT","W7.BLK",9850231,259765,6238473,921
NA,"E1.KRT",9850212,267696,6235330,34
