"domain","siteID","logger","UTM.east","UTM.north","LON_DD","LAT_DD","elevation","slope_deg","aspect_deg","magn.true.aspect","use4Analyses","use4ClimateSummaries","route","CollSeq","series","deployed.as","deployXssn","start.date","start.hour","end.date","end.hour","log.max.d","VegSurveyPlot","VegSurveyDate","distOnTransect","Orig.siteID"
"SILVERMINE","CHK1",10008095,256907,6228779,18.3663324575535,-34.0535284164379,120,19,265,"M",1,1,"CB",1,83,10008095,0,"11/10/11",18,"12/31/13",23,150,"111110-A-09","11/10/11",NA,""
"SILVERMINE","CHK2",10006349,257070,6229153,18.3682009556642,-34.0501967510721,326,8,350,"M",1,1,"CB",2,84,10006349,0,"11/10/11",18,"12/31/13",23,150,"111110-A-07","11/10/11",NA,""
"SILVERMINE","CHK3",10008094,257271,6228903,18.3703069004198,-34.0524956682016,325,32,240,"M",1,1,"CB",3,85,10008094,0,"11/10/11",18,"12/31/13",23,150,"111110-A-08","11/10/11",NA,""
"SILVERMINE","CHK4",10008096,257420,6229224,18.3720089510153,-34.0496381867091,367,26,355,"M",1,1,"CB",4,86,10008096,0,"11/10/11",18,"12/31/13",23,150,"111110-A-06","11/10/11",NA,""
"SILVERMINE","CHK5",10008093,258353,6229582,18.3822065217591,-34.0466284287089,436,35,15,"M",1,1,"CB",5,87,10008093,0,"11/10/11",18,"12/31/13",23,150,"111110-A-04","11/10/11",NA,""
"SILVERMINE","CHK6",10006348,258397,6229772,18.382735370766,-34.0449267862752,455,33,280,"M",1,1,"CB",6,88,10006348,0,"11/10/11",18,"12/31/13",23,150,"111110-A-03","11/10/11",NA,""
"SILVERMINE","CBR0",10008097,258834,6230229,18.3875913684189,-34.0409101318029,566,32,340,"M",1,1,"CB",7,90,10008097,0,"12/6/11",18,"12/31/13",23,150,"111206-A-01","12/6/11",NA,""
"SILVERMINE","CBR1",10008101,258712,6229614,18.3861009129307,-34.0464228584381,642,24,270,"M",1,1,"CB",8,92,10008101,0,"12/6/11",18,"12/31/13",23,150,"111206-A-02","12/6/11",NA,""
"SILVERMINE","CBR2",10008098,258934,6229766,18.3885456780849,-34.0451045191031,659,20,340,"M",1,1,"CB",9,94,10008098,0,"12/6/11",18,"12/31/13",23,150,"111206-A-03","12/6/11",NA,""
"SILVERMINE","CBR3",10008103,259033,6229102,18.3894337044176,-34.0511095717023,786,5,20,"M",1,1,"CB",10,95,10008103,0,"12/6/11",18,"12/31/13",23,150,"111206-A-04","12/6/11",NA,""
"SILVERMINE","CBR4",10008100,258995,6228733,18.3889204075154,-34.0544253175811,841,27,120,"M",1,1,"CB",11,96,10008100,0,"12/6/11",18,"12/31/13",23,150,"111206-A-05","12/6/11",NA,""
"SILVERMINE","PSK5",10008123,258499,6228060,18.3833651514247,-34.0603744111804,614,5,80,"M",1,1,"CB",12,71,10008123,0,"11/2/11",18,"12/31/13",23,150,"111102-B-07","11/2/11",NA,""
"SILVERMINE","PSK6",10008118,258418,6228212,18.3825304573058,-34.0589863016355,659,39,230,"M",1,1,"CB",13,72,10008118,0,"11/2/11",18,"12/31/13",23,150,"111102-B-06","11/2/11",NA,""
"SILVERMINE","MP1",10008152,265772,6223097,18.4607630188234,-34.1067426102385,232,30,67,"M",1,1,"SME",1,42,10008152,0,"10/24/11",15,"12/31/13",23,150,"111024-B-03","10/24/11",NA,""
"SILVERMINE","MP2",10008141,265235,6223395,18.455026951087,-34.1039372248681,380,26,55,"M",1,1,"SME",2,43,10008141,0,"10/24/11",15,"12/31/13",23,150,"111024-B-05","10/24/11",NA,""
"SILVERMINE","MP3",10008140,265600,6223573,18.4590282888241,-34.1024153610598,439,27,230,"M",1,1,"SME",3,44,10008140,0,"10/24/11",15,"12/31/13",23,150,"111024-B-06","10/24/11",NA,""
"SILVERMINE","MP4",10008150,264647,6223573,18.4487064388253,-34.1022012859549,400,5,165,"M",1,1,"SME",4,45,10008150,0,"10/24/11",15,"12/31/13",23,150,"111024-B-07","10/24/11",NA,""
"SILVERMINE","SME01",9850219,262929,6224047,18.4302283994541,-34.0975425927936,364,15,200,"M",1,1,"SME",5,6,9850240,1,"4/23/11",18,"12/31/13",23,150,"111031-A-10","10/31/11",0,"SME1.A"
"SILVERMINE","SME02",9850224,262838,6223951,18.4292166914925,-34.0983868885255,304,25,210,"M",1,1,"SME",6,7,9850240,1,"4/23/11",18,"12/31/13",23,150,"111031-A-09","10/31/11",133,"SME2.A"
"SILVERMINE","SME03",9850216,262982,6223722,18.4307138480326,-34.1004827520535,266,5,300,"M",1,1,"SME",7,8,9850240,1,"4/23/11",18,"12/31/13",23,150,"111031-A-08","10/31/11",269,"SME3.A"
"SILVERMINE","SME04",9850218,263002,6223543,18.4308816874141,-34.1021000174801,306,20,355,"M",1,1,"SME",8,9,9850240,1,"4/23/11",18,"12/31/13",23,150,"111031-A-06","10/31/11",182,"SME4.A"
"SILVERMINE","SME05",9850223,263086,6223469,18.4317713091,-34.1027857699031,358,0,0,"M",1,1,"SME",9,10,9850240,1,"4/23/11",18,"12/31/13",23,150,"111031-A-07","10/31/11",112,"SME5.A"
"SILVERMINE","SME06",9850222,262963,6223341,18.4304042405895,-34.1039111308367,308,25,220,"M",1,1,"SME",10,11,9850240,1,"4/23/11",18,"12/31/13",23,150,"111026-A-09","10/26/11",177,"SME6.A"
"SILVERMINE","SME07",9850213,262966,6223068,18.4303623266709,-34.1063714505118,277,5,320,"M",1,1,"SME",11,12,9850240,1,"4/23/11",18,"12/31/13",23,150,"111026-A-08",NA,274,"SME7.A"
"SILVERMINE","SME08",9850215,262908,6222925,18.4296951280424,-34.1076466801727,316,20,45,"M",1,1,"SME",12,13,9850240,1,"4/23/11",18,"12/31/13",23,150,"111026-A-06","10/26/11",154,"SME8.A"
"SILVERMINE","SME09",9850221,262854,6222792,18.4290739617835,-34.108832715948,388,25,65,"M",1,1,"SME",13,14,9850240,1,"4/23/11",18,"12/31/13",23,150,"111026-A-07","10/26/11",144,"SME9.A"
"SILVERMINE","SME10",10008153,262893,6222528,18.4294243981329,-34.1112201115127,457,16,240,"T",1,1,"SME",14,41,10008153,0,"10/24/11",15,"12/31/13",23,150,"111024-A-09","10/24/11",NA,""
"SILVERMINE","KB4",10008154,263868,6222293,18.439921661538,-34.1135581122481,493,10,170,"T",1,1,"SME",15,40,10008154,0,"10/24/11",15,"12/31/13",23,150,"111024-A-07","10/24/11",NA,""
"SILVERMINE","KB3",10008151,264234,6222022,18.4438127594891,-34.1160823798854,371,23,180,"T",1,1,"SME",16,39,10008151,0,"10/24/11",15,"12/31/13",23,150,"111024-A-06","10/24/11",NA,""
"SILVERMINE","KB2",10008139,264179,6221957,18.4431993331123,-34.1166556037755,374,20,76,"T",1,1,"SME",17,38,10008139,0,"10/24/11",15,"12/31/13",23,150,"111024-A-05","10/24/11",NA,""
"SILVERMINE","KB1",10008138,264600,6221663,18.4476802564931,-34.1193993934591,242,25,135,"T",1,1,"SME",18,37,10008138,0,"10/24/11",15,"12/31/13",23,150,"111024-A-04","10/24/11",NA,""
"SILVERMINE","E1.KRT",9850212,267696,6235330,18.4848622110182,-33.9969511594299,34,0,0,"M",0,0,"SMV.X",1,16,9850212,0,"4/15/11",18,"12/31/13",23,112,"111206-A-00",NA,0,"TE1.KRT.A"
"SILVERMINE","StPkN",9850211,264582,6224964,18.4483788002157,-34.0896540107303,130,25,20,"M",1,1,"SMV.X",2,15,9850211,0,"3/16/11",18,"12/31/13",23,112,NA,"",0,"StPkN.A"
"SILVERMINE","SME16",10008144,261082,6223325,18.4100271225045,-34.1036271531702,101,10,118,"T",1,1,"SMV.X",3,50,10008144,0,"10/31/11",18,"12/31/13",23,150,"111031-A-01","10/31/11",NA,""
"SILVERMINE","SME17",10008143,261227,6223203,18.4115640814322,-34.1047594399169,88,11,112,"T",1,1,"SMV.X",4,51,10008143,0,"10/31/11",18,"12/31/13",23,150,"111031-A-02",NA,NA,""
"SILVERMINE","SME18",10008142,261388,6223050,18.4132658721809,-34.1061746568708,107,7,325,"T",1,1,"SMV.X",5,52,10008142,0,"10/31/11",18,"12/31/13",23,150,"111031-A-03","10/31/11",NA,""
"SILVERMINE","SME20",10008133,261652,6222730,18.4160375630368,-34.1091179379675,230,27,312,"T",1,1,"SMV.X",6,54,10008133,0,"10/31/11",18,"12/31/13",23,150,"111031-A-05","10/31/11",NA,""
"SILVERMINE","SMW8",10008113,261108,6225429,18.410886347572,-34.0846770132745,433,17,122,"M",1,1,"SMW",1,58,10008113,0,"10/31/11",18,"12/31/13",23,150,"111031-B-08","10/31/11",NA,""
"SILVERMINE","SMW7",10008114,261105,6225198,18.410790470122,-34.0867575362238,396,8,181,"M",1,1,"SMW",2,57,10008114,0,"10/31/11",18,"12/31/13",23,150,"111031-B-07","10/31/11",NA,""
"SILVERMINE","SMW5",10008115,260585,6224803,18.4050509889473,-34.0901974284379,361,12,243,"M",1,1,"SMW",3,56,10008115,0,"10/31/11",18,"12/31/13",23,150,"111031-B-05","10/31/11",NA,""
"SILVERMINE","SMW4",10008116,260655,6224699,18.4057804142556,-34.0911504362534,341,10,47,"M",1,1,"SMW",4,55,10008116,0,"10/31/11",18,"12/31/13",23,150,"111031-B-04","10/31/11",NA,""
"SILVERMINE","NDP2",10008128,259919,6225653,18.3980733646185,-34.0823867469428,484,15,245,"M",1,1,"SMW",5,60,10008128,0,"11/2/11",18,"12/31/13",23,150,"111102-A-02","11/2/11",NA,""
"SILVERMINE","NDP1",10008145,259952,6225937,18.3985089802816,-34.079835626451,495,10,65,"M",0,0,"SMW",6,59,10008145,0,"11/2/11",18,"12/31/13",23,150,"111102-A-01","11/2/11",NA,""
"SILVERMINE","NDP5",10008120,258346,6226518,18.3812812738335,-34.0742315739469,732,24,210,"M",0,0,"SMW",7,61,10008120,0,"11/2/11",18,"12/31/13",23,150,"111102-A-05","11/2/11",NA,""
"SILVERMINE","NDP6",10008112,258571,6226738,18.3837782623424,-34.0723014306689,722,3,80,"M",1,1,"SMW",8,62,10008112,0,"11/2/11",18,"12/31/13",23,150,"111102-A-06","11/2/11",NA,""
"SILVERMINE","NDP7",10008121,258325,6226979,18.3811818089605,-34.0700734083464,706,28,290,"M",1,1,"SMW",9,63,10008121,0,"11/2/11",18,"12/31/13",23,150,"111102-A-07","11/2/11",NA,""
"SILVERMINE","NDP8",10008117,258738,6227157,18.3857023223869,-34.0685649948152,656,24,60,"M",1,1,"SMW",10,64,10008117,0,"11/2/11",18,"12/31/13",23,150,"111102-A-08","11/2/11",NA,""
"SILVERMINE","NDP9",10008126,258665,6227440,18.3849904068563,-34.0659985098189,650,21,140,"M",1,1,"SMW",11,65,10008126,0,"11/2/11",18,"12/31/13",23,150,"111102-A-09","11/2/11",NA,""
"SILVERMINE","PSK1",10008122,259295,6227462,18.3918166943469,-34.0659453221425,576,7,100,"M",1,1,"SMW",12,68,10008122,0,"11/2/11",18,"12/31/13",23,150,"111102-B-05","11/2/11",NA,""
"SILVERMINE","PSK2",10008124,259313,6227722,18.3920833692524,-34.0636070018587,563,17,85,"M",1,1,"SMW",13,69,10008124,0,"11/2/11",18,"12/31/13",23,150,"111102-B-04","11/2/11",NA,""
"SILVERMINE","PSK3",10008119,259487,6227863,18.3940059116618,-34.0623766462887,566,12,220,"M",1,1,"SMW",14,70,10008119,0,"11/2/11",18,"12/31/13",23,150,"111102-B-03","11/2/11",NA,""
"SILVERMINE","SMD1",10008125,259584,6226883,18.3947855704969,-34.0712282028944,467,6,215,"M",1,1,"SMW",15,66,10008125,0,"11/2/11",18,"12/31/13",23,150,"111102-B-02","11/2/11",NA,""
"SILVERMINE","SMD2",10008127,259566,6226511,18.3944880156859,-34.0745755881306,460,8,70,"M",1,1,"SMW",16,67,10008127,0,"11/2/11",18,"12/31/13",23,150,"111102-B-01","11/2/11",NA,""
"TABLEMT","TN2",10008102,260611,6239745,18.4094287958447,-33.9555815522695,509,44,17,"T",1,1,"TM.DP",1,46,10008102,0,"10/27/11",18,"12/31/13",23,150,"111027-A-02","10/27/11",NA,""
"TABLEMT","TN3",10008136,261305,6239351,18.4168249295411,-33.9592891984789,581,30,335,"T",1,1,"TM.DP",2,47,10008136,0,"10/27/11",18,"12/31/13",23,150,"111027-A-03","10/27/11",NA,""
"TABLEMT","DP01",10008155,261950,6239667,18.4238848423431,-33.9565883481517,460,35,340,"M",1,1,"TM.DP",3,31,10008155,0,"10/18/11",15,"12/31/13",23,150,"111018-A-07","10/18/11",NA,""
"TABLEMT","DP06",10008148,262886,6239728,18.4340215765285,-33.956250264001,716,23,254,"M",1,1,"TM.DP",4,36,10008148,0,"10/18/11",15,"12/31/13",23,150,"111021-A-06","10/21/11",NA,""
"TABLEMT","DP04",10008146,263201,6240092,18.4375258011238,-33.9530416425349,815,35,1,"M",1,1,"TM.DP",5,34,10008146,0,"10/18/11",15,"12/31/13",23,150,"111021-A-01","10/21/11",NA,""
"TABLEMT","DP05",10008137,263449,6239876,18.4401488199577,-33.9550436162956,972,31,182,"M",0,0,"TM.DP",6,35,10008137,0,"10/18/11",15,"12/31/13",23,150,"111021-A-02","10/21/11",NA,""
"TABLEMT","DP03",10008149,262869,6239508,18.4337782192486,-33.9582286098984,698,15,320,"M",1,1,"TM.DP",7,33,10008149,0,"10/18/11",15,"12/31/13",23,150,"111018-A-02","10/18/11",NA,""
"TABLEMT","DP02",10008147,262719,6239413,18.4321306217092,-33.9590507041652,730,15,15,"M",1,1,"TM.DP",8,32,10008147,0,"10/18/11",15,"12/31/13",23,150,"111018-A-01","10/18/11",NA,""
"TABLEMT","TB6",10008135,262250,6238999,18.426947183694,-33.9626748189268,1020,10,75,"M",1,0,"TM.DP",9,49,10008135,0,"10/27/11",18,"12/31/13",23,150,"111027-B-06","10/27/11",NA,""
"TABLEMT","EV5",9850233,260615,6238139,18.4090330792149,-33.9700520846779,903,10,20,"M",1,1,"TM.DP",10,5,9850233,0,"4/22/11",18,"12/31/13",23,150,"111116-A-05","11/16/11",88,"EV5.A"
"TABLEMT","EV4",9850234,260630,6238226,18.4092190711626,-33.9692716563794,880,15,60,"M",1,1,"TM.DP",11,4,9850234,0,"4/22/11",18,"12/31/13",23,150,"111116-A-04","11/16/11",136,"EV4.A"
"TABLEMT","EV3",9850236,260745,6238300,18.4104828606596,-33.9686311261565,861,0,0,"M",1,1,"TM.DP",12,3,9850236,0,"4/22/11",18,"12/31/13",23,150,"111116-A-03","11/16/11",114,"EV3.A"
"TABLEMT","EV2",9850235,260810,6238394,18.4112114209447,-33.9677990081256,900,30,225,"M",1,1,"TM.DP",13,2,9850235,0,"4/22/11",18,"12/31/13",23,150,"111116-A-02","11/16/11",112,"EV2.A"
"TABLEMT","EV1",9850238,260843,6238500,18.4115972167711,-33.9668514864824,966,25,240,"M",1,1,"TM.DP",14,1,9850238,0,"4/22/11",18,"12/31/13",23,150,"111116-A-01","11/16/11",0,"EV1.A"
"TABLEMT","E6.AQ",9850239,261812,6237749,18.4218710821792,-33.9738379178488,871,20,205,"M",1,1,"TM.DP",15,21,9850239,0,"5/4/11",18,"12/31/13",23,150,"111116-A-06","11/16/11",1100,"TE6.AQ.A"
"TABLEMT","E7.FP",9850232,262313,6237862,18.4273197522649,-33.9729332659564,986,25,110,"M",1,1,"TM.DP",16,22,9850232,0,"4/22/11",18,"12/31/13",23,150,"111116-A-07","11/16/11",530,"TE7.FP.A"
"TABLEMT","TN7",10008134,260813,6239127,18.4114440615264,-33.9611955518744,975,40,120,"T",1,1,"TM.DP",17,48,10008134,0,"10/27/11",18,"12/31/13",23,150,"111027-A-07","10/27/11",NA,""
"TABLEMT","TB.CWU",9850237,260189,6239318,18.4047492983694,-33.959332525451,1059,5,230,"M",1,1,"TM.DP",18,30,9850237,0,"4/22/11",18,"12/31/13",23,150,"111027-A-00",NA,975,"TW8.TMS.A"
"TABLEMT","E2.KBG",9850240,262657,6236427,18.430650658135,-33.9859401732963,160,5,90,"M",1,1,"TME",1,17,9850240,0,"5/17/11",15,"12/31/13",23,150,"111206-A-00",NA,5200,"TE2.KBG.A"
"TABLEMT","E3.KBM",9850214,262124,6236057,18.4247851721281,-33.9891532051402,236,16,90,"M",1,0,"TME",2,18,9850214,0,"4/15/11",18,"12/31/13",23,112,"111107-B-01","11/7/11",649,"TE3.KBM.A"
"TABLEMT","E4.NB",9850220,261604,6236478,18.4192754567662,-33.9852421670277,518,45,190,"M",1,1,"TME",3,19,9850220,0,"5/4/11",18,"12/31/13",23,150,"111107-B-02","11/7/11",672,"TE4.NB.A"
"TABLEMT","E5.CR",9850225,261520,6236647,18.4184130023502,-33.9837004462031,726,30,160,"M",1,1,"TME",4,20,9850225,0,"5/4/11",18,"12/31/13",23,150,"111107-B-03","11/7/11",182,"TE5.CR.A"
"TABLEMT","E8.SG",10006341,261348,6237143,18.4166880121416,-33.9791925396103,731,37,210,"M",1,1,"TME",5,23,10006341,0,"11/7/11",18,"12/31/13",23,150,"111107-B-10","11/7/11",NA,""
"TABLEMT","CC10",10008156,259985,6236554,18.4017857877255,-33.9841886778155,723,5,30,"M",1,1,"TME",6,89,10008156,0,"12/6/11",18,"12/31/13",23,150,"111206-A-08","12/6/11",NA,""
"TABLEMT","CC06",10006338,260838,6235827,18.4108126463113,-33.9909333228251,678,13,220,"M",1,1,"TME",7,82,10006338,0,"11/7/11",18,"12/31/13",23,150,"111107-A-07","11/7/11",NA,""
