doy,year,month,day,date,Tmin,Tmax,Tmean,dtRange,T06,T14,Tm1406,dt1406,RHmin,RHmax,VPmax,RHsat.hrs,TminSr,TmaxSr,RHsatSr,VPmaxSr,sommax,sommin,Kps.mean_hPa,Kppt_mm,Kwspd.mean_m.s,Kwspd.max_m.s
1,2012,NA,NA,2012-01-01,11.3948295454545,21.6249204545455,16.509875,10.2300909090909,12.0195,20.7331477272727,16.3763238636364,8.71364772727273,83.6433181818182,92.6812727272727,1.92061895564649,5.54545454545455,11.897,15.774,17.6666666666667,0.82705581588196,16,15,997,0.6,2.99166666666667,5.6
2,2012,NA,NA,2012-01-02,14.9757386363636,19.0159772727273,16.9958579545455,4.04023863636364,15.2616818181818,18.3199090909091,16.7907954545455,3.05822727272727,52.3119886363636,99.7152613636364,1.93767389039068,19,5.775,13.309,14.6666666666667,0.61973261345513,15,14,995.5,11.6,2.50416666666667,5.4
3,2012,NA,NA,2012-01-03,14.7574090909091,23.1011818181818,18.9292954545455,8.34377272727273,15.047125,22.1910681818182,18.6190965909091,7.14394318181818,52.6362840909091,98.7894659090909,1.7021660028949,15.6799242424242,7.611,14.073,24,0.63845102104251,7,7,997.2,0.2,2.27916666666667,4.7
4,2012,NA,NA,2012-01-04,10.7852954545455,23.3483068181818,17.0668011363636,12.5630113636364,12.2099886363636,21.7417613636364,16.975875,9.53177272727273,39.6621022727273,94.0642840909091,1.79289651166289,4.65719696969697,13.317,12.957,13,0.61670370394205,11,11,998.2,0,2.30416666666667,3.1
5,2012,NA,NA,2012-01-05,13.7835,25.1292613636364,19.4563806818182,11.3457613636364,14.8398409090909,24.3874431818182,19.6136420454545,9.54760227272727,28.2092272727273,95.2617840909091,1.87231051954373,7.52651515151515,7.701,9.869,14.3333333333333,0.56381489707523,11,7,999.6,0,1.975,2.7
6,2012,NA,NA,2012-01-06,14.3602613636364,27.5925681818182,20.9764147727273,13.2323068181818,16.1793181818182,24.6565795454545,20.4179488636364,8.47726136363636,51.9517386363636,85.8816704545455,2.04369111009662,1.24242424242424,9.235,9.813,7.83333333333333,0.52980962656657,11,8,999.4,0,2.17083333333333,4.8
7,2012,NA,NA,2012-01-07,15.5905113636364,26.0350681818182,20.8127897727273,10.4445568181818,16.7396704545455,24.7697613636364,20.7547159090909,8.03009090909091,60.4217045454545,96.1481818181818,2.26363727305519,7.78787878787879,8.566,16.926,20.5,0.54173328664528,15,11,997.5,0,2.69166666666667,3.4
8,2012,NA,NA,2012-01-08,16.3423636363636,26.9461704545455,21.6442670454545,10.6038068181818,17.5462272727273,26.1089431818182,21.8275852272727,8.56271590909091,79.1984204545455,97.3757045454545,2.13594852568601,12.1799242424242,7.754,18.889,24,0.64072978474129,16,15,994,0,2.65833333333333,3.3
9,2012,NA,NA,2012-01-09,17.5000227272727,19.9966136363636,18.7483181818182,2.49659090909091,17.9212159090909,19.0809090909091,18.5010625,1.15969318181818,51.2511818181818,98.9513295454545,2.11526559180631,19.2992424242424,6.479,13.802,24,0.60384250975666,15,11,996.3,0,2.16666666666667,3
10,2012,NA,NA,2012-01-10,14.9382840909091,26.6827727272727,20.8105284090909,11.7444886363636,15.6741818181818,25.8824886363636,20.7783352272727,10.2083068181818,38.9631477272727,96.8084545454546,2.17234734245019,12.0643939393939,7.929,16.296,24,1.02174525449249,15,14,993.7,0,2.49583333333333,3.1
11,2012,NA,NA,2012-01-11,17.7185568181818,29.8844431818182,23.8015,12.1658863636364,19.7423522727273,28.7744204545455,24.2583863636364,9.03206818181818,66.6724545454545,88.3286022727273,1.9116904635415,1.98674242424242,10.366,10.207,10.3333333333333,0.68174057049277,16,16,991.2,0,1.5,2.1
12,2012,NA,NA,2012-01-12,13.9057045454545,21.5123636363636,17.7090340909091,7.60665909090909,15.3440227272727,20.4411136363636,17.8925681818182,5.09709090909091,78.9890568181818,97.86225,1.97559131737898,8.58901515151515,8.231,16.425,16,0.79959319660329,16,15,992.1,0,2.73333333333333,5.8
13,2012,NA,NA,2012-01-13,15.4251931818182,19.0355454545455,17.2303693181818,3.61035227272727,15.8866022727273,16.3538181818182,16.1202102272727,0.467215909090909,51.4600795454545,99.0404090909091,1.8334388999173,18.4867424242424,6.098,11.692,23,0.72301247642184,11,12,995.4,13.6,2.06666666666667,3.6
14,2012,NA,NA,2012-01-14,11.6466363636364,23.7541704545455,17.7004034090909,12.1075340909091,12.13175,23.0323522727273,17.5820511363636,10.9006022727273,39.7406590909091,98.4036590909091,1.9833284069702,8.94886363636363,11.589,13.063,19.8333333333333,0.58869215715532,12,14,1000.4,0,2.05833333333333,3
15,2012,NA,NA,2012-01-15,15.0977386363636,28.0577386363636,21.5777386363636,12.96,17.8280227272727,26.5028295454545,22.1654261363636,8.67480681818182,30.2810454545455,93.66,2.25859498136084,4.05113636363636,8.605,14.51,12.6666666666667,0.94520254160797,12,12,997.1,0,2.50833333333333,3.1
16,2012,NA,NA,2012-01-16,18.8043409090909,36.41475,27.6095454545455,17.6104090909091,22.7462272727273,34.7699204545455,28.7580738636364,12.0236931818182,46.2871022727273,83.8566136363636,2.46866959730467,1.85416666666667,10.585,13.893,10.5,1.09664155551669,11,8,991,0,2.05833333333333,3.1
17,2012,NA,NA,2012-01-17,18.7675795454545,30.5548068181818,24.6611931818182,11.7872272727273,21.4182840909091,28.6833863636364,25.0508352272727,7.26510227272727,41.4053181818182,94.991125,2.54447574733162,9.20075757575758,12.813,19.685,23.6666666666667,1.7191421212528,12,12,991.3,0,2.1,3.1
18,2012,NA,NA,2012-01-18,19.590125,35.1500568181818,27.3700909090909,15.5599318181818,22.181,33.931875,28.0564375,11.750875,49.0079772727273,95.6467613636364,2.59398075453141,7.6780303030303,10.715,11.398,18.8333333333333,1.45402763852851,11,8,991,0,0.945833333333333,2.1
19,2012,NA,NA,2012-01-19,20.0528181818182,30.7698409090909,25.4113295454545,10.7170227272727,20.4722840909091,29.54775,25.0100170454545,9.07546590909091,66.4048409090909,89.5162159090909,2.58184316420535,5.52651515151515,11.95,15.739,19.5,0.79397270568125,15,15,991.5,0,1.225,2.3
20,2012,NA,NA,2012-01-20,18.8985227272727,25.8452840909091,22.3719034090909,6.94676136363636,19.981375,22.5885454545455,21.2849602272727,2.60717045454545,60.6371704545455,99.6379090909091,2.53940110871681,18.1439393939394,8.564,15.548,21.5,0.84872379719189,15,15,992.3,1.4,1.10833333333333,2.3
21,2012,NA,NA,2012-01-21,18.2798522727273,28.983125,23.6314886363636,10.7032727272727,18.6093977272727,27.2801363636364,22.9447670454545,8.67073863636364,64.6786818181818,98.1664204545455,2.18286870008367,12.2954545454545,5.976,11.915,23.6666666666667,1.15287567941556,11,15,991.4,0,1.55416666666667,2.4
22,2012,NA,NA,2012-01-22,16.8101931818182,23.7309886363636,20.2705909090909,6.92079545454545,18.1888636363636,20.0473522727273,19.1181079545455,1.85848863636364,83.3932954545455,98.0378068181818,2.14979642649088,8.19886363636364,7.651,13.55,19.1666666666667,0.92942467251756,7,8,992.1,0,2.25833333333333,5.3
23,2012,NA,NA,2012-01-23,13.4309318181818,19.6028863636364,16.5169090909091,6.17195454545455,15.1744431818182,17.6755795454545,16.4250113636364,2.50113636363636,64.3761590909091,99.8141477272727,2.11548486906371,19.2859848484849,6.167,12.278,14.5,0.93395843629799,11,7,996.8,7.4,1.12916666666667,2.8
24,2012,NA,NA,2012-01-24,15.4912840909091,22.6358409090909,19.0635625,7.14455681818182,15.9955,21.8198522727273,18.9076761363636,5.82435227272727,54.4976477272727,99.4336477272727,1.88802341657929,17.8162878787879,6.7,12.93,21.5,0.89979663549122,11,11,999,2.4,1.88333333333333,3.2
25,2012,NA,NA,2012-01-25,13.4166363636364,25.3197159090909,19.3681761363636,11.9030795454545,14.2561931818182,24.3802045454545,19.3181988636364,10.1240113636364,54.0625340909091,96.1699659090909,1.91381231547891,7.77840909090909,11.993,14.837,17.6666666666667,0.59968257018718,11,11,995.4,0,2.31666666666667,3.1
26,2012,NA,NA,2012-01-26,14.5912272727273,24.6507045454545,19.6209659090909,10.0594772727273,15.1209090909091,23.2614090909091,19.1911590909091,8.1405,48.5393068181818,93.0835681818182,2.05603742837238,6.92234848484848,11.846,10.558,17,0.62832346575447,11,11,996.2,0,2.4625,3.6
27,2012,NA,NA,2012-01-27,15.0262954545455,27.8028977272727,21.4145965909091,12.7766022727273,16.2496477272727,26.8916022727273,21.570625,10.6419545454545,42.6993295454545,96.1014545454545,2.00119573203975,8.90909090909091,8.833,14.98,21.8333333333333,0.86750598419155,12,11,997.1,0,2.18333333333333,3
28,2012,NA,NA,2012-01-28,15.8556704545455,28.8500340909091,22.3528522727273,12.9943636363636,16.7616022727273,27.5953522727273,22.1784772727273,10.83375,29.1022954545455,96.5519886363636,1.97831937630771,9.50378787878788,12.378,15.43,21.8333333333333,0.68598770142501,8,12,993.8,0,2.08333333333333,2.9
29,2012,NA,NA,2012-01-29,17.4996136363636,33.4306477272727,25.4651306818182,15.9310340909091,19.7331704545455,32.3110454545455,26.0221079545455,12.577875,48.6654886363636,80.9989431818182,2.00343801083851,0.744318181818182,15.288,10.665,6.83333333333333,0.58220217254699,7,7,988.2,0,1.5,2.6
30,2012,NA,NA,2012-01-30,15.2213522727273,25.6480909090909,20.4347215909091,10.4267386363636,16.8816931818182,24.3681363636364,20.6249147727273,7.48644318181818,43.6860340909091,99.0175,1.98919965007884,9.22537878787879,12.766,11.65,12.5,0.6864242758024,8,7,992.2,0.2,1.62083333333333,3.2
31,2012,NA,NA,2012-01-31,14.7469431818182,27.904875,21.3259090909091,13.1579318181818,15.2585,26.1956363636364,20.7270681818182,10.9371363636364,49.6725340909091,97.329125,1.7602191681585,9.37310606060606,8.205,12.711,14.8333333333333,0.68839213367789,12,8,992.6,0,1.59166666666667,2.6
32,2012,NA,NA,2012-02-01,13.9093295454545,23.7483977272727,18.8288636363636,9.83906818181818,14.3207272727273,22.8775340909091,18.5991306818182,8.55680681818182,75.5589318181818,94.4240568181818,1.81113058050838,7.66287878787879,7.305,12.293,17.8333333333333,0.40510767171488,13,14,996.3,0,2.28333333333333,3.3
33,2012,NA,NA,2012-02-02,13.841,18.5992840909091,16.2201420454545,4.75828409090909,14.1882272727273,15.9482613636364,15.0682443181818,1.76003409090909,62.1031363636364,95.8474318181818,1.88164129123434,11.0359848484849,8.235,11.552,22.8333333333333,0.40614002784752,4,6,998.3,0,2.60833333333333,3.3
34,2012,NA,NA,2012-02-03,14.7018522727273,23.7744090909091,19.2381306818182,9.07255681818182,15.2053863636364,22.5717840909091,18.8885852272727,7.36639772727273,40.3496022727273,96.6441931818182,1.86762190997557,13.5359848484848,7.245,10.689,24,0.37048467704502,10,10,998.2,0,2.56666666666667,3.2
35,2012,NA,NA,2012-02-04,15.4367045454545,30.8254886363636,23.1310965909091,15.3887840909091,17.2716704545455,29.719375,23.4955227272727,12.4477045454545,24.3391363636364,93.6985340909091,1.73553444394031,5.56060606060606,8.785,12.719,15,1.01049423204914,9,9,996.4,0,2.11666666666667,3
36,2012,NA,NA,2012-02-05,18.2918636363636,36.2251704545455,27.2585170454545,17.9333068181818,20.2469772727273,35.2288181818182,27.7378977272727,14.9818409090909,25.8295227272727,76.5261704545455,2.00893437803246,0.293560606060606,16.42,12.558,5.5,0.9381235193141,5,5,991.8,0,1.725,2.8
37,2012,NA,NA,2012-02-06,21.4442840909091,36.0638863636364,28.7540852272727,14.6196022727273,25.4032840909091,33.7279659090909,29.565625,8.32468181818182,50.1983522727273,67.5898409090909,2.15028253685368,0.0359848484848485,10.624,10.281,2.66666666666667,0.82031913539276,1,1,988.7,0.6,1.4,2.8
38,2012,NA,NA,2012-02-07,16.9185568181818,26.0042386363636,21.4613977272727,9.08568181818182,17.2047045454545,21.9511590909091,19.5779318181818,4.74645454545455,51.2809545454545,97.8483409090909,1.79089264134855,7.80113636363636,6.442,10.416,15,0.86328722575436,9,5,993.1,0,1.4875,4
39,2012,NA,NA,2012-02-08,13.2253522727273,24.4965454545455,18.8609488636364,11.2711931818182,13.5221022727273,23.7611477272727,18.641625,10.2390454545455,56.2400909090909,94.6549090909091,1.74386669072361,7.01136363636364,9.978,15.302,15,0.53747287039091,13,9,995.5,0,2.16666666666667,3.1
40,2012,NA,NA,2012-02-09,14.8943409090909,22.9688522727273,18.9315965909091,8.07451136363636,15.0842045454545,21.9019772727273,18.4930909090909,6.81777272727273,51.3151931818182,96.0948295454545,1.47122588716135,10.2727272727273,7.426,15.636,20.3333333333333,0.89545498800658,1,9,994.5,0,2.62083333333333,3.7
41,2012,NA,NA,2012-02-10,11.2207159090909,19.2507045454545,15.2357102272727,8.02998863636364,11.6041704545455,18.2413295454545,14.92275,6.63715909090909,63.0504318181818,95.7266818181818,1.68162674826594,4.62121212121212,8.466,13.986,19.8333333333333,0.81046827337518,14,14,994.4,0,2.81666666666667,4.7
42,2012,NA,NA,2012-02-11,11.3233409090909,20.0455,15.6844204545455,8.72215909090909,12.1460568181818,18.8341363636364,15.4900965909091,6.68807954545455,57.4420681818182,99.1346931818182,1.68929079608223,10.1268939393939,7.138,14.618,17,0.54100291673983,16,14,995.1,5.4,2.05416666666667,4
43,2012,NA,NA,2012-02-12,12.0642613636364,21.6011704545455,16.8327159090909,9.53690909090909,12.6500681818182,20.0016590909091,16.3258636363636,7.35159090909091,52.2203863636364,98.2971363636364,1.59424754134725,15.4318181818182,6.469,15.235,23.8333333333333,0.60670725924746,9,9,995.8,0.2,3.1375,6.2
44,2012,NA,NA,2012-02-13,11.1645681818182,22.8174772727273,16.9910227272727,11.6529090909091,12.3596931818182,22.0498522727273,17.2047727272727,9.69015909090909,53.2832954545455,96.0550909090909,1.64783003657664,8.27462121212121,9.374,14.02,22.3333333333333,0.36373820392592,5,5,995.7,0,2.03333333333333,2.8
45,2012,NA,NA,2012-02-14,13.5087840909091,22.8551818181818,18.1819829545455,9.34639772727273,13.5857840909091,22.1845454545455,17.8851647727273,8.59876136363636,46.3239204545455,94.1979886363636,1.53968390572863,8.05303030303031,7.035,12.895,20.6666666666667,0.47937690473343,5,5,995.9,0,1.875,2.7
